DepartureYear,DepartureMonth,DepartureDay,DepartureAirport,ArrivalAirport,ActualFlightTime,ActualTotalFuel,FlownPassengers,FlightBagsWeight,DayOfWeek,FuelPerMinute,AvgBagWeight,IsWeekend,PredictedTOW
2016,11,1,MAD,MLA,132,5990,175.0,650.0,1,45.378787878787875,13.0,0,67170.664
2016,11,1,MLA,MAD,138,6250,181.0,490.0,1,45.289855072463766,12.894736842105264,0,68919.76
2016,11,1,TLS,MAD,59,2570,160.0,,1,43.559322033898304,,0,62853.91
2016,11,1,MAD,TLS,54,2650,171.0,160.0,1,49.074074074074076,13.333333333333334,0,63212.22
2016,11,1,MRS,LIS,119,5052,177.0,550.0,1,42.45378151260504,13.095238095238095,0,65575.76
2016,11,1,MRS,FCO,56,2730,180.0,,1,48.75,,0,64429.68
2016,11,1,FCO,MRS,59,2730,179.0,510.0,1,46.271186440677965,13.076923076923077,0,63236.977
2016,11,1,LIS,MRS,111,4821,186.0,920.0,1,43.432432432432435,12.95774647887324,0,65923.17
2016,11,1,PFO,STN,281,12070,184.0,1399.0,1,42.95373665480427,13.074766355140186,0,73930.56
2016,11,1,STN,PFO,239,9620,142.0,920.0,1,40.2510460251046,12.105263157894736,0,68153.22
2016,11,1,PRG,STN,112,4890,172.0,546.0,1,43.660714285714285,13.0,0,66632.45
2016,11,1,BVA,TSF,73,3020,153.0,90.0,1,41.36986301369863,12.857142857142858,0,62762.395
2016,11,1,BVA,ALC,112,4661,181.0,260.0,1,41.61607142857143,13.0,0,66304.734
2016,11,1,ALC,BVA,112,4810,188.0,530.0,1,42.94642857142857,12.926829268292684,0,65829.71
2016,11,1,TSF,BVA,90,3840,188.0,420.0,1,42.666666666666664,13.125,0,65505.535
2016,11,1,FMM,TFS,272,11283,175.0,1269.0,1,41.481617647058826,12.948979591836734,0,73312.57
2016,11,1,TFS,FMM,262,10860,171.0,1440.0,1,41.45038167938932,12.972972972972974,0,71708.49
2016,11,1,STN,MAD,128,5480,185.0,210.0,1,42.8125,13.125,0,66738.836
2016,11,1,MAD,STN,115,4620,168.0,300.0,1,40.17391304347826,13.043478260869565,0,64119.176
2016,11,1,LPA,HAM,271,10180,90.0,640.0,1,37.564575645756456,13.061224489795919,0,66253.21
2016,11,1,HAM,LPA,302,12936,168.0,1300.0,1,42.83443708609271,13.0,0,74318.625
2016,11,1,DUB,PRG,111,4780,181.0,962.0,1,43.06306306306306,13.0,0,66572.55
2016,11,1,PRG,CIA,81,3520,176.0,338.0,1,43.45679012345679,13.0,0,64708.65
2016,11,1,CIA,PRG,101,4280,167.0,200.0,1,42.37623762376238,13.333333333333334,0,65823.03
2016,11,1,PRG,DUB,150,6430,173.0,400.0,1,42.86666666666667,12.903225806451612,0,67001.45
2016,11,1,BLQ,STN,128,5390,183.0,325.0,1,42.109375,13.0,0,67029.234
2016,11,1,STN,BLQ,91,3941,183.0,300.0,1,43.30769230769231,13.043478260869565,0,65004.92
2016,11,1,BHX,BCN,105,4503,161.0,420.0,1,42.885714285714286,13.125,0,64382.0
2016,11,1,BCN,BHX,113,4930,170.0,390.0,1,43.6283185840708,13.0,0,65889.734
2016,11,1,SKG,ATH,40,1770,172.0,90.0,1,44.25,12.857142857142858,0,63771.31
2016,11,1,ATH,SKG,42,1880,173.0,130.0,1,44.76190476190476,13.0,0,62555.832
2016,11,1,SKG,BVA,178,7560,176.0,610.0,1,42.47191011235955,12.97872340425532,0,68629.23
2016,11,1,BVA,SKG,153,6210,159.0,210.0,1,40.588235294117645,13.125,0,64661.746
2016,11,1,OTP,CIA,95,4060,181.0,270.0,1,42.73684210526316,12.857142857142858,0,65351.816
2016,11,1,CIA,OTP,99,4060,164.0,,1,41.01010101010101,,0,65016.29
2016,11,1,CIA,KRK,100,4390,174.0,560.0,1,43.9,13.023255813953488,0,65703.92
2016,11,1,KRK,CIA,88,3845,173.0,300.0,1,43.69318181818182,13.043478260869565,0,64739.203
2016,11,1,CIA,LIS,161,6800,184.0,400.0,1,42.2360248447205,12.903225806451612,0,68063.484
2016,11,1,LIS,CIA,158,6540,185.0,,1,41.392405063291136,,0,68719.516
2016,11,1,MAD,CRL,112,4660,183.0,380.0,1,41.607142857142854,13.10344827586207,0,65347.082
2016,11,1,CRL,MAD,112,5061,175.0,220.0,1,45.1875,3.283582089552239,0,66612.66
2016,11,1,RZE,DUB,176,7389,178.0,630.0,1,41.98295454545455,13.125,0,67862.24
2016,11,1,PSA,PMO,60,3061,182.0,220.0,1,51.016666666666666,12.941176470588236,0,65030.953
2016,11,1,STN,PRG,82,3637,164.0,360.0,1,44.353658536585364,12.857142857142858,0,64806.96
2016,11,1,PIK,CGN,81,3630,178.0,,1,44.81481481481482,,0,66139.516
2016,11,1,KTW,DUB,169,7214,173.0,590.0,1,42.68639053254438,13.11111111111111,0,67313.0
2016,11,1,DTM,STN,61,2935,159.0,480.0,1,48.114754098360656,12.972972972972974,0,64420.38
2016,11,1,EMA,LIG,80,3570,161.0,720.0,1,44.625,13.090909090909092,0,63554.77
2016,11,1,DUB,RZE,150,6200,183.0,663.0,1,41.333333333333336,13.0,0,67155.5
2016,11,1,STN,CIA,117,4790,164.0,340.0,1,40.94017094017094,13.076923076923077,0,64430.773
2016,11,1,STN,EIN,40,1923,165.0,590.0,1,48.075,13.11111111111111,0,63417.074
2016,11,1,CIA,STN,143,5900,177.0,590.0,1,41.25874125874126,13.11111111111111,0,67410.05
2016,11,1,EIN,STN,40,2200,172.0,190.0,1,55.0,13.571428571428571,0,64267.516
2016,11,1,BCN,STN,123,5380,158.0,260.0,1,43.739837398373986,13.0,0,65736.98
2016,11,1,STN,BCN,108,4700,156.0,360.0,1,43.51851851851852,12.857142857142858,0,64402.848
2016,11,1,TSF,BCN,86,3680,183.0,390.0,1,42.7906976744186,13.0,0,65284.004
2016,11,1,BCN,TSF,91,4380,178.0,300.0,1,48.13186813186813,13.043478260869565,0,67240.74
2016,11,1,KRK,BFS,173,6585,132.0,,1,38.0635838150289,,0,65214.348
2016,11,1,BFS,KRK,134,5265,151.0,,1,39.291044776119406,,0,64582.53
2016,11,1,OTP,ATH,74,3260,161.0,,1,44.054054054054056,,0,64953.49
2016,11,1,ATH,OTP,79,3551,159.0,600.0,1,44.949367088607595,13.043478260869565,0,63799.055
2016,11,1,DUB,LIS,147,6260,178.0,832.0,1,42.585034013605444,13.0,0,66685.0
2016,11,1,DUB,CGN,89,4030,186.0,936.0,1,45.28089887640449,13.0,0,66031.22
2016,11,1,DUB,HAM,88,3930,175.0,832.0,1,44.65909090909091,13.0,0,65898.23
2016,11,1,CGN,DUB,97,4594,174.0,,1,47.36082474226804,,0,67887.95
2016,11,1,HAM,DUB,106,4830,139.0,490.0,1,45.56603773584906,12.894736842105264,0,64828.07
2016,11,1,LPL,DUB,29,1490,175.0,770.0,1,51.37931034482759,13.05084745762712,0,64771.14
2016,11,1,ALC,LPL,146,5810,179.0,600.0,1,39.794520547945204,13.043478260869565,0,65769.8
2016,11,1,LPL,ALC,151,5900,152.0,700.0,1,39.0728476821192,12.962962962962964,0,64824.062
2016,11,1,DUB,LPL,29,1370,171.0,650.0,1,47.241379310344826,13.0,0,62864.008
2016,11,1,FMM,DUB,127,5180,181.0,750.0,1,40.78740157480315,12.931034482758621,0,66427.1
2016,11,1,BIQ,DUB,94,4130,167.0,470.0,1,43.93617021276596,13.055555555555555,0,64804.76
2016,11,1,DUB,FMM,105,4550,188.0,1495.0,1,43.333333333333336,13.0,0,66789.06
2016,11,1,DUB,BIQ,101,4250,174.0,897.0,1,42.07920792079208,13.0,0,64761.418
2016,11,1,BRE,STN,71,2911,127.0,270.0,1,41.0,12.857142857142858,0,60779.77
2016,11,1,STN,ZAZ,112,4910,189.0,820.0,1,43.839285714285715,13.015873015873016,0,66758.414
2016,11,1,ZAZ,STN,113,4690,174.0,420.0,1,41.50442477876106,13.125,0,65238.117
2016,11,1,STN,BRE,57,2590,157.0,420.0,1,45.43859649122807,12.352941176470589,0,63164.13
2016,11,1,STN,CDT,118,4897,126.0,300.0,1,41.5,13.043478260869565,0,62918.734
2016,11,1,CDT,STN,122,5311,181.0,,1,43.532786885245905,,0,68150.5
2016,11,1,BUD,STN,149,6317,173.0,210.0,1,42.395973154362416,13.125,0,67405.56
2016,11,1,STN,BUD,110,4780,181.0,500.0,1,43.45454545454545,12.820512820512821,0,66245.77
2016,11,1,WMI,GLA,157,6566,165.0,,1,41.82165605095541,,0,67542.38
2016,11,1,GLA,WMI,123,5490,169.0,370.0,1,44.63414634146341,13.214285714285714,0,66974.516
2016,11,1,FKB,GRO,80,3400,170.0,440.0,1,42.5,12.941176470588236,0,63733.953
2016,11,1,GRO,FKB,91,4174,182.0,520.0,1,45.86813186813187,13.0,0,65010.598
2016,11,1,PSR,BVA,120,5050,182.0,,1,42.083333333333336,,0,67161.27
2016,11,1,BVA,PSR,104,4580,176.0,260.0,1,44.03846153846154,13.0,0,65541.195
2016,11,1,SNN,BVA,70,3480,179.0,560.0,1,49.714285714285715,13.023255813953488,0,65742.39
2016,11,1,BVA,SNN,89,3841,130.0,230.0,1,43.157303370786515,13.529411764705882,0,63064.902
2016,11,1,LGW,SNN,68,3202,161.0,,1,47.088235294117645,,0,64036.562
2016,11,1,SNN,LGW,72,3090,179.0,410.0,1,42.916666666666664,12.8125,0,64029.387
2016,11,1,LTN,DUB,56,2820,132.0,140.0,1,50.357142857142854,12.727272727272727,0,61424.07
2016,11,1,DUB,LTN,51,2510,177.0,767.0,1,49.21568627450981,13.0,0,64100.07
2016,11,1,LTN,NOC,65,3360,175.0,340.0,1,51.69230769230769,7.555555555555555,0,65030.76
2016,11,1,NOC,LTN,59,2670,172.0,,1,45.25423728813559,,0,65265.613
2016,11,1,OSL,STN,107,4653,145.0,,1,43.48598130841121,,0,65336.055
2016,11,1,STN,OSL,99,4460,121.0,510.0,1,45.05050505050505,13.076923076923077,0,61221.527
2016,11,1,BRS,GRO,100,3592,49.0,40.0,1,35.92,13.333333333333334,0,55427.164
2016,11,1,GRO,BRS,113,4900,154.0,350.0,1,43.36283185840708,12.962962962962964,0,64489.12
2016,11,1,SZY,STN,138,5767,148.0,,1,41.789855072463766,,0,66030.56
2016,11,1,STN,SZY,105,4360,103.0,180.0,1,41.523809523809526,12.857142857142858,0,60002.52
2016,11,1,CGN,SXF,57,2390,144.0,140.0,1,41.92982456140351,12.727272727272727,0,61664.41
2016,11,1,CGN,SXF,48,2410,150.0,,1,50.208333333333336,,0,63919.383
2016,11,1,CGN,SXF,50,2360,139.0,120.0,1,47.2,13.333333333333334,0,62475.414
2016,11,1,SXF,CGN,53,2190,149.0,160.0,1,41.320754716981135,13.333333333333334,0,61454.793
2016,11,1,SXF,CGN,50,2270,159.0,130.0,1,45.4,13.0,0,62814.273
2016,11,1,SXF,CGN,52,2399,182.0,180.0,1,46.13461538461539,12.857142857142858,0,64067.508
2016,11,1,ORK,STN,51,2830,179.0,540.0,1,55.490196078431374,12.0,0,66029.06
2016,11,1,ORK,STN,74,3310,177.0,260.0,1,44.729729729729726,13.0,0,65186.684
2016,11,1,STN,ORK,65,3170,114.0,270.0,1,48.76923076923077,12.857142857142858,0,60649.25
2016,11,1,STN,ORK,65,2839,156.0,250.0,1,43.676923076923075,13.157894736842104,0,62179.344
2016,11,1,AMS,DUB,79,3540,173.0,260.0,1,44.81012658227848,13.0,0,65539.66
2016,11,1,DUB,AMS,68,3220,172.0,741.0,1,47.35294117647059,13.0,0,63628.098
2016,11,1,LGW,DUB,61,2710,158.0,,1,44.42622950819672,,0,63811.746
2016,11,1,DUB,LGW,61,2720,183.0,728.0,1,44.59016393442623,13.0,0,64399.04
2016,11,1,DUB,BCN,125,4960,184.0,,1,39.68,,0,66469.93
2016,11,1,BCN,DUB,129,5669,180.0,470.0,1,43.945736434108525,13.055555555555555,0,67324.74
2016,11,1,STN,XRY,156,6400,95.0,180.0,1,41.02564102564103,12.857142857142858,0,61171.117
2016,11,1,XRY,STN,151,6500,170.0,570.0,1,43.04635761589404,12.954545454545455,0,67840.4
2016,11,1,NUE,AGP,163,7011,174.0,660.0,1,43.012269938650306,12.941176470588236,0,68676.336
2016,11,1,AGP,NUE,156,6875,176.0,,1,44.07051282051282,,0,69042.57
2016,11,1,CGN,STN,60,2726,160.0,,1,45.43333333333333,,0,64962.23
2016,11,1,STN,SVQ,153,6640,175.0,350.0,1,43.39869281045752,12.962962962962964,0,67294.25
2016,11,1,SVQ,STN,144,6080,187.0,490.0,1,42.22222222222222,12.894736842105264,0,67564.086
2016,11,1,STN,CGN,55,2540,180.0,390.0,1,46.18181818181818,13.0,0,64309.32
2016,11,1,LGW,DUB,55,2394,139.0,,1,43.527272727272724,,0,62193.69
2016,11,1,DUB,LGW,65,2870,166.0,819.0,1,44.15384615384615,13.0,0,63524.7
2016,11,1,BOH,MJV,131,4600,62.0,350.0,1,35.11450381679389,12.962962962962964,0,58465.758
2016,11,1,MJV,BOH,119,5057,175.0,490.0,1,42.49579831932773,12.894736842105264,0,65313.89
2016,11,1,BDS,STN,174,7428,184.0,750.0,1,42.689655172413794,12.931034482758621,0,70165.12
2016,11,1,STN,BDS,150,6200,144.0,340.0,1,41.333333333333336,13.076923076923077,0,64376.062
2016,11,1,STN,FAO,161,6500,127.0,690.0,1,40.37267080745342,13.018867924528301,0,63530.69
2016,11,1,FAO,STN,151,6362,175.0,920.0,1,42.13245033112583,13.142857142857142,0,68259.53
2016,11,1,CRL,SVQ,145,6070,185.0,520.0,1,41.86206896551724,6.046511627906977,0,67114.66
2016,11,1,SVQ,CRL,136,5750,185.0,720.0,1,42.279411764705884,13.090909090909092,0,67071.19
2016,11,1,CRL,VRN,67,2900,181.0,240.0,1,43.28358208955224,13.333333333333334,0,64642.402
2016,11,1,VRN,CRL,74,3121,166.0,295.0,1,42.17567567567568,14.047619047619047,0,62448.133
2016,11,1,CRL,VLC,111,4400,183.0,280.0,1,39.63963963963964,3.4146341463414633,0,65120.906
2016,11,1,VLC,CRL,115,4700,183.0,700.0,1,40.869565217391305,12.962962962962964,0,65710.29
2016,11,1,MAD,BGY,113,4840,183.0,380.0,1,42.83185840707964,13.10344827586207,0,65495.938
2016,11,1,BGY,MAD,108,4650,174.0,280.0,1,43.05555555555556,17.5,0,65448.133
2016,11,1,LPA,DUB,228,9151,138.0,560.0,1,40.1359649122807,13.023255813953488,0,67227.5
2016,11,1,DUB,LPA,267,11330,184.0,,1,42.43445692883895,,0,73760.64
2016,11,1,CPH,AGP,212,8893,181.0,,1,41.948113207547166,,0,71601.62
2016,11,1,AGP,CPH,193,8250,181.0,1120.0,1,42.74611398963731,13.023255813953488,0,69958.06
2016,11,1,BVA,AGP,137,5405,152.0,230.0,1,39.45255474452555,12.777777777777779,0,65012.555
2016,11,1,SCQ,AGP,73,3080,180.0,330.0,1,42.19178082191781,13.2,0,64524.906
2016,11,1,AGP,BVA,127,5370,189.0,550.0,1,42.28346456692913,13.095238095238095,0,67099.484
2016,11,1,AGP,SCQ,75,3300,184.0,400.0,1,44.0,12.903225806451612,0,65314.953
2016,11,1,LGW,DUB,56,2210,121.0,,1,39.464285714285715,,0,59955.05
2016,11,1,LGW,DUB,54,2310,151.0,260.0,1,42.77777777777778,10.833333333333334,0,61759.234
2016,11,1,DUB,LGW,58,2360,174.0,962.0,1,40.689655172413794,13.0,0,63722.703
2016,11,1,DUB,LGW,63,2500,177.0,234.0,1,39.682539682539684,13.0,0,63045.64
2016,11,1,STN,SOF,153,6690,158.0,490.0,1,43.72549019607843,12.894736842105264,0,67728.12
2016,11,1,SOF,STN,190,8072,168.0,590.0,1,42.48421052631579,12.291666666666666,0,68921.57
2016,11,1,MAN,CRL,60,2589,163.0,190.0,1,43.15,13.571428571428571,0,62042.848
2016,11,1,CRL,MAN,63,2780,175.0,40.0,1,44.12698412698413,1.6666666666666667,0,63913.156
2016,11,1,MAD,PMI,57,3340,152.0,210.0,1,58.59649122807018,13.125,0,62160.887
2016,11,1,BOH,PMI,118,3834,25.0,70.0,1,32.49152542372882,14.0,0,55218.336
2016,11,1,PMI,BOH,115,4950,187.0,620.0,1,43.04347826086956,12.916666666666666,0,66210.78
2016,11,1,PMI,MAD,57,2610,172.0,390.0,1,45.78947368421053,13.0,0,63514.19
2016,11,1,MRS,NDR,102,4600,168.0,840.0,1,45.09803921568628,13.125,0,66182.23
2016,11,1,CRL,MRS,77,3330,178.0,400.0,1,43.246753246753244,5.405405405405405,0,64005.61
2016,11,1,NDR,MRS,102,4230,182.0,630.0,1,41.470588235294116,15.365853658536585,0,64716.688
2016,11,1,MRS,CRL,83,3490,181.0,410.0,1,42.04819277108434,13.225806451612904,0,64185.43
2016,11,1,STN,TRS,100,4550,181.0,550.0,1,45.5,13.095238095238095,0,66142.77
2016,11,1,TRS,STN,113,5088,174.0,490.0,1,45.02654867256637,12.894736842105264,0,67049.125
2016,11,1,EMA,AGP,159,5900,99.0,250.0,1,37.106918238993714,13.157894736842104,0,61107.02
2016,11,1,AGP,EMA,152,6489,180.0,420.0,1,42.69078947368421,13.125,0,67303.51
2016,11,1,DUB,REU,126,5560,189.0,975.0,1,44.12698412698413,13.0,0,67506.72
2016,11,1,REU,DUB,135,5845,175.0,490.0,1,43.2962962962963,12.894736842105264,0,66910.68
2016,11,1,BLQ,AHO,49,2100,173.0,104.0,1,42.857142857142854,13.0,0,62124.258
2016,11,1,AHO,BLQ,53,2200,166.0,182.0,1,41.509433962264154,13.0,0,62604.734
2016,11,1,CPH,BLQ,101,4100,181.0,,1,40.59405940594059,,0,66385.5
2016,11,1,BLQ,CPH,109,4400,172.0,520.0,1,40.36697247706422,13.0,0,63777.566
2016,11,1,BRE,NYO,98,4140,152.0,,1,42.244897959183675,,0,64050.38
2016,11,1,STN,GLA,59,2649,122.0,270.0,1,44.898305084745765,12.857142857142858,0,61239.504
2016,11,1,STN,GLA,59,2670,145.0,130.0,1,45.25423728813559,13.0,0,62409.387
2016,11,1,GLA,STN,74,3350,159.0,170.0,1,45.270270270270274,1.069182389937107,0,63531.164
2016,11,1,GLA,STN,65,2860,169.0,180.0,1,44.0,12.857142857142858,0,63358.473
2016,11,1,EIN,MAD,133,5980,183.0,200.0,1,44.962406015037594,13.333333333333334,0,68121.18
2016,11,1,MAD,EIN,114,5066,182.0,550.0,1,44.43859649122807,13.095238095238095,0,66550.336
2016,11,1,BGY,SUF,74,3600,183.0,70.0,1,48.648648648648646,14.0,0,65607.016
2016,11,1,BGY,EIN,73,3600,176.0,350.0,1,49.31506849315068,12.962962962962964,0,65696.62
2016,11,1,EIN,BGY,70,3015,186.0,170.0,1,43.07142857142857,13.076923076923077,0,63351.723
2016,11,1,SUF,BGY,85,3700,177.0,130.0,1,43.529411764705884,13.0,0,63971.67
2016,11,1,TFS,STN,232,9619,164.0,900.0,1,41.46120689655172,13.043478260869565,0,70427.18
2016,11,1,STN,TFS,257,10967,173.0,790.0,1,42.673151750972764,12.950819672131148,0,72212.8
2016,11,1,MLA,NYO,218,9680,185.0,730.0,1,44.403669724770644,13.035714285714286,0,71741.555
2016,11,1,NYO,MLA,203,8500,178.0,790.0,1,41.87192118226601,12.950819672131148,0,69647.92
2016,11,1,KIR,STN,70,3120,179.0,,1,44.57142857142857,,0,66746.54
2016,11,1,KRK,STN,135,6045,182.0,210.0,1,44.77777777777778,13.125,0,68335.7
2016,11,1,STN,KIR,68,3000,77.0,140.0,1,44.11764705882353,12.727272727272727,0,57843.45
2016,11,1,STN,KRK,103,4810,166.0,350.0,1,46.699029126213595,12.962962962962964,0,65718.73
2016,11,1,BGY,NYO,134,5773,179.0,570.0,1,43.082089552238806,12.954545454545455,0,67541.8
2016,11,1,NYO,BGY,142,5660,178.0,260.0,1,39.859154929577464,15.294117647058824,0,65931.945
2016,11,1,RAK,STN,190,7950,181.0,880.0,1,41.8421052631579,13.134328358208956,0,69906.734
2016,11,1,STN,RAK,203,8671,173.0,700.0,1,42.714285714285715,10.144927536231885,0,69075.89
2016,11,1,STN,GDN,95,4040,161.0,330.0,1,42.526315789473685,13.2,0,63244.953
2016,11,1,GDN,STN,121,5152,174.0,190.0,1,42.578512396694215,12.666666666666666,0,65846.586
2016,11,1,BLL,STN,66,3324,140.0,20.0,1,50.36363636363637,0.07692307692307693,0,62831.555
2016,11,1,STN,BLL,69,3180,183.0,590.0,1,46.08695652173913,13.11111111111111,0,65466.625
2016,11,1,STN,GLA,64,2500,113.0,140.0,1,39.0625,12.727272727272727,0,58918.23
2016,11,1,GLA,STN,69,2790,157.0,210.0,1,40.43478260869565,13.125,0,61649.61
2016,11,1,OPO,MAD,51,2260,178.0,280.0,1,44.31372549019608,12.727272727272727,0,63633.918
2016,11,1,MAD,OPO,48,2260,178.0,,1,47.083333333333336,,0,64661.062
2016,11,1,LUX,OPO,130,5200,179.0,160.0,1,40.0,13.333333333333334,0,65407.008
2016,11,1,OPO,LUX,120,4780,177.0,340.0,1,39.833333333333336,13.076923076923077,0,65448.227
2016,11,1,SKG,STN,195,8309,180.0,720.0,1,42.61025641025641,13.090909090909092,0,69954.9
2016,11,1,STN,SKG,163,6640,154.0,620.0,1,40.736196319018404,12.916666666666666,0,65643.24
2016,11,1,BRI,STN,162,6880,172.0,700.0,1,42.46913580246913,12.962962962962964,0,68800.73
2016,11,1,STN,BRI,136,6130,171.0,550.0,1,45.0735294117647,13.095238095238095,0,67535.81
2016,11,1,BFS,AGP,171,6890,162.0,,1,40.292397660818715,,0,68033.73
2016,11,1,AGP,BFS,171,7070,175.0,1460.0,1,41.345029239766085,13.035714285714286,0,69067.54
2016,11,1,BZR,NYO,160,6367,136.0,520.0,1,39.79375,13.0,0,63927.86
2016,11,1,NYO,BZR,175,7115,176.0,590.0,1,40.65714285714286,13.11111111111111,0,67650.27
2016,11,1,CGN,AGP,159,7100,182.0,,1,44.65408805031446,,0,70193.625
2016,11,1,AGP,CGN,163,7040,178.0,1160.0,1,43.190184049079754,13.03370786516854,0,68848.086
2016,11,1,EMA,PIK,45,1610,,,1,35.77777777777778,,0,63969.43
2016,11,1,PIK,PIK,136,5490,,,1,40.36764705882353,,0,67310.18
2016,11,1,PIK,PIK,86,3490,,,1,40.58139534883721,,0,65064.81
2016,11,1,PIK,EMA,42,2520,,,1,60.0,,0,65746.5
2016,11,1,PFO,ATH,83,3760,184.0,270.0,1,45.30120481927711,12.857142857142858,0,66271.76
2016,11,1,ATH,RHO,45,2090,144.0,120.0,1,46.44444444444444,13.333333333333334,0,61526.668
2016,11,1,ATH,PFO,73,3630,185.0,620.0,1,49.726027397260275,12.916666666666666,0,66533.086
2016,11,1,RHO,ATH,47,2210,172.0,520.0,1,47.02127659574468,13.0,0,64862.273
2016,11,1,HHN,RIX,117,4920,173.0,470.0,1,42.05128205128205,13.055555555555555,0,65425.094
2016,11,1,HHN,CIA,83,3440,180.0,480.0,1,41.44578313253012,12.972972972972974,0,65054.188
2016,11,1,RIX,HHN,123,5320,183.0,550.0,1,43.2520325203252,13.095238095238095,0,66280.3
2016,11,1,CIA,HHN,96,4149,180.0,780.0,1,43.21875,13.0,0,65540.65
2016,11,1,MAD,HAM,146,6310,169.0,470.0,1,43.21917808219178,13.055555555555555,0,67378.29
2016,11,1,HAM,MAD,156,6829,175.0,490.0,1,43.77564102564103,12.894736842105264,0,68381.57
2016,11,1,STN,AGP,155,6400,148.0,430.0,1,41.29032258064516,13.030303030303031,0,65336.203
2016,11,1,AGP,STN,149,6260,182.0,880.0,1,42.013422818791945,12.941176470588236,0,68465.57
2016,11,1,GLA,ALC,169,6750,148.0,610.0,1,39.94082840236686,12.97872340425532,0,65288.37
2016,11,1,ALC,GLA,173,7220,175.0,520.0,1,41.73410404624278,13.0,0,68028.055
2016,11,1,CTA,MXP,106,4620,181.0,340.0,1,43.58490566037736,13.076923076923077,0,66587.414
2016,11,1,MXP,CTA,93,3930,162.0,360.0,1,42.25806451612903,13.333333333333334,0,64114.316
